# IDENTITY & CONTACT
FULL_NAME: Rahul Mehta
DOB: 10/01/2025
AGE: 35
GENDER: Male
AADHAAR: 234567890123
PAN: AABPM1234C
MOBILE: [MISSING]
ADDRESS: / AT

# LIFESTYLE
SMOKING: [MISSING]
ALCOHOL: [MISSING]
ALCOHOL_FREQUENCY: [MISSING]
HAZARDOUS_OCCUPATION: [MISSING]

# VITALS
HEIGHT_CM: [MISSING]
WEIGHT_KG: [MISSING]
BMI: [MISSING]
BP_SYSTOLIC: [MISSING]
BP_DIASTOLIC: [MISSING]

# DIABETES
DIABETES_DECLARED: [MISSING]
FBS: [MISSING]
HBA1C: [MISSING]
DIABETES_CONTROL: [MISSING]

# LIVER
SGOT: [MISSING]
SGPT: [MISSING]
LIVER_STATUS: [MISSING]

# KIDNEY
CREATININE: [MISSING]
UREA: [MISSING]
KIDNEY_STATUS: [MISSING]

# FINANCIAL
ANNUAL_INCOME: [MISSING]
EXISTING_INSURANCE: [MISSING]

# COMPLETENESS REPORT
FIELDS_PRESENT: 7/29
COMPLETENESS: 24.1%
MISSING: mobile_number, smoking_status, alcohol_status, alcohol_frequency, hazardous_occupation, height_cm, weight_kg, bmi, bp_systolic, bp_diastolic, diabetes_declared, fbs, hba1c, diabetes_control, sgot, sgpt, liver_status, creatinine, urea, kidney_status, annual_income, existing_insurance
